         208441 function calls (201061 primitive calls) in 0.386 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
       28    0.000    0.000    0.000    0.000 __init__.py:1834(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
       32    0.000    0.000    0.000    0.000 __init__.py:1845(_str_lower_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       48    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        3    0.000    0.000    0.000    0.000 __init__.py:197(caching_module_getattr)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:203(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:2038(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:207(__enter__)
       44    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
       11    0.000    0.000    0.093    0.008 __init__.py:209(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:210(__exit__)
        1    0.000    0.000    0.007    0.007 __init__.py:210(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:214(insert_shim)
        1    0.000    0.000    0.000    0.000 __init__.py:215(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:218(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:218(remove_shim)
       55    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        3    0.000    0.000    0.000    0.000 __init__.py:2219(createLock)
       22    0.000    0.000    0.000    0.000 __init__.py:222(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<listcomp>)
       55    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:229(Splitter)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       12    0.000    0.000    0.001    0.000 __init__.py:232(define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(DeprecatedList)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
       11    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        2    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:252(WordSet)
       82    0.000    0.000    0.001    0.000 __init__.py:253(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:263(sic)
        6    0.000    0.000    0.000    0.000 __init__.py:266(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
       12    0.000    0.000    0.000    0.000 __init__.py:273(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:274(<genexpr>)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:28(clear_distutils)
        6    0.000    0.000    0.000    0.000 __init__.py:282(_logged_cached)
        4    0.000    0.000    0.008    0.002 __init__.py:29(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:291(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:298(Process)
        2    0.000    0.000    0.003    0.001 __init__.py:299(loads)
      105    0.000    0.000    0.000    0.000 __init__.py:301(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:316(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.001    0.001 __init__.py:32(message_from_string)
        1    0.000    0.000    0.000    0.000 __init__.py:322(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:327(<listcomp>)
      141    0.006    0.000    0.015    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:33(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:330(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:330(EntryPoints)
        1    0.000    0.000    0.000    0.000 __init__.py:339(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:339(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:348(_mac_os_check)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:37(FoldedCase)
        1    0.000    0.000    0.000    0.000 __init__.py:395(Deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
      655    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:407(SeparatedValues)
     2654    0.003    0.000    0.004    0.000 __init__.py:411(_strip_comment)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(Stripper)
        1    0.000    0.000    0.000    0.000 __init__.py:43(enabled)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:433(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:450(SelectableGroups)
        1    0.000    0.000    0.000    0.000 __init__.py:47(PackageNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:490(PackagePath)
        1    0.000    0.000    0.000    0.000 __init__.py:492(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(VendorImporter)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:504(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:506(FileHash)
        4    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        4    0.000    0.000    0.008    0.002 __init__.py:51(create_module)
        1    0.000    0.000    0.024    0.024 __init__.py:51(ensure_local_distutils)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.004    0.004 __init__.py:532(from_name)
        1    0.000    0.000    0.000    0.000 __init__.py:536(get_configdir)
        4    0.000    0.000    0.000    0.000 __init__.py:54(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:550(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:566(get_data_path)
        2    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:572(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:577(_discover_resolvers)
        1    0.000    0.000    0.000    0.000 __init__.py:58(check_compatibility)
        5    0.000    0.000    0.000    0.000 __init__.py:580(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:581(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:59(Sectioned)
        4    0.000    0.000    0.000    0.000 __init__.py:593(gen_candidates)
        1    0.000    0.000    0.002    0.002 __init__.py:597(metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:602(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:61(ProjectionRegistry)
        1    0.000    0.000    0.002    0.002 __init__.py:624(version)
        1    0.000    0.000    0.000    0.000 __init__.py:629(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:631(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:64(install)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       32    0.000    0.000    0.000    0.000 __init__.py:651(__init__)
     1281    0.000    0.000    0.000    0.000 __init__.py:654(_set)
        1    0.000    0.000    0.000    0.000 __init__.py:67(register)
      778    0.000    0.000    0.001    0.000 __init__.py:674(_get)
        1    0.000    0.000    0.024    0.024 __init__.py:68(do_override)
      969    0.001    0.000    0.017    0.000 __init__.py:695(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:723(DistributionFinder)
      465    0.000    0.000    0.001    0.000 __init__.py:725(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:728(Context)
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        3    0.000    0.000    0.000    0.000 __init__.py:746(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:748(_get_backend_or_none)
        1    0.000    0.000    0.000    0.000 __init__.py:749(path)
        1    0.000    0.000    0.000    0.000 __init__.py:75(UnidentifiedImageError)
        7    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
      314    0.000    0.000    0.000    0.000 __init__.py:765(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:77(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:771(FastPath)
        6    0.000    0.000    0.000    0.000 __init__.py:777(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:781(Filterer)
        6    0.000    0.000    0.000    0.000 __init__.py:781(__init__)
       83    0.000    0.000    0.002    0.000 __init__.py:784(joinpath)
       47    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        6    0.000    0.000    0.001    0.000 __init__.py:787(children)
        1    0.000    0.000    0.000    0.000 __init__.py:789(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:791(Grouper)
        1    0.000    0.000    0.000    0.000 __init__.py:794(zip_children)
        1    0.000    0.000    0.000    0.000 __init__.py:8(_SubplotBaseMeta)
       33    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
        6    0.000    0.000    0.004    0.001 __init__.py:801(search)
        6    0.000    0.000    0.000    0.000 __init__.py:804(mtime)
        6    0.000    0.000    0.004    0.001 __init__.py:810(lookup)
       60    0.000    0.000    0.002    0.000 __init__.py:813(_open_file_or_url)
        1    0.000    0.000    0.000    0.000 __init__.py:815(Lookup)
        6    0.000    0.000    0.004    0.001 __init__.py:816(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:825(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:826(<dictcomp>)
     1866    0.000    0.000    0.000    0.000 __init__.py:831(<lambda>)
       30    0.010    0.000    0.036    0.001 __init__.py:831(_rc_params_in_file)
        6    0.000    0.000    0.000    0.000 __init__.py:837(search)
        1    0.000    0.000    0.000    0.000 __init__.py:851(Prepared)
        5    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:859(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:863(Handler)
       84    0.000    0.000    0.000    0.000 __init__.py:866(normalize)
        5    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:873(legacy_normalize)
       12    0.000    0.000    0.000    0.000 __init__.py:881(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:885(MetadataPathFinder)
        1    0.000    0.000    0.000    0.000 __init__.py:886(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:887(GrouperView)
1107/1015    0.001    0.000    0.136    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:893(_GrouperMethodForwarder)
        7    0.000    0.000    0.000    0.000 __init__.py:894(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:897(__set_name__)
        1    0.000    0.000    0.000    0.000 __init__.py:899(_search_paths)
        1    0.000    0.000    0.000    0.000 __init__.py:9(warn_distutils_present)
        2    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        7    0.000    0.000    0.004    0.001 __init__.py:903(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:911(PathDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:912(__init__)
        2    0.000    0.000    0.001    0.001 __init__.py:919(read_text)
      788    0.000    0.000    0.000    0.000 __init__.py:950(<lambda>)
      157    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.004    0.004 __init__.py:963(distribution)
        1    0.000    0.000    0.000    0.000 __init__.py:966(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:970(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:973(setFormatter)
        1    0.000    0.000    0.006    0.006 __init__.py:989(version)
      2/1    0.000    0.000    0.134    0.134 __init__.py:99(spec_for_distutils)
        1    0.000    0.000    0.000    0.000 __init__.py:99(version_info)
        1    0.000    0.000    0.000    0.000 __version__.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:11(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:15(__getattr__)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(TraversableResourcesLoader)
        1    0.000    0.000    0.000    0.000 _adapters.py:24(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:30(__new__)
        1    0.000    0.000    0.000    0.000 _adapters.py:31(DegenerateFiles)
        1    0.000    0.000    0.000    0.000 _adapters.py:35(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:37(Path)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(_repair_headers)
       26    0.000    0.000    0.000    0.000 _adapters.py:43(redent)
        1    0.000    0.000    0.000    0.000 _adapters.py:49(<listcomp>)
        1    0.000    0.000    0.000    0.000 _adapters.py:6(SpecLoaderAdapter)
        1    0.000    0.000    0.000    0.000 _adapters.py:78(wrap_spec)
        1    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        3    0.000    0.000    0.003    0.001 _add_newdocs.py:1(<module>)
      262    0.000    0.000    0.000    0.000 _add_newdocs.py:18(add_newdoc)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6520(refer_to_array_attribute)
        1    0.000    0.000    0.013    0.013 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _afm.py:358(AFM)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:12(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:22(is_local_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:28(is_prod_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
        1    0.000    0.000    0.006    0.006 _apply_pyprojecttoml.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _apply_pyprojecttoml.py:282(_attrgetter)
        5    0.000    0.000    0.000    0.000 _apply_pyprojecttoml.py:297(_some_attrgetter)
        1    0.000    0.000    0.000    0.000 _apply_pyprojecttoml.py:352(_WouldIgnoreField)
        1    0.000    0.000    0.000    0.000 _array_api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _array_api.py:52(_NumPyApiWrapper)
        1    0.000    0.000    0.000    0.000 _array_api.py:7(_ArrayAPIWrapper)
        1    0.000    0.000    0.000    0.000 _arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrays.py:10(_sparray)
        7    0.000    0.000    0.000    0.000 _arrays.py:53(_matrix_doc_to_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:60(bsr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:64(coo_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:68(csc_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:72(csr_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:76(dia_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:80(dok_array)
        1    0.000    0.000    0.000    0.000 _arrays.py:84(lil_array)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _available_if.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _available_if.py:17(__init__)
        1    0.000    0.000    0.000    0.000 _available_if.py:48(available_if)
        1    0.000    0.000    0.000    0.000 _available_if.py:6(_AvailableIfDescriptor)
        1    0.000    0.000    0.000    0.000 _available_if.py:87(<lambda>)
        1    0.000    0.000    0.078    0.078 _axes.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _axes.py:46(Axes)
        1    0.000    0.000    0.012    0.012 _axis_nan_policy.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _axis_nan_policy.py:260(_get_axis_params)
       12    0.000    0.000    0.000    0.000 _axis_nan_policy.py:309(_axis_nan_policy_factory)
       12    0.000    0.000    0.014    0.001 _axis_nan_policy.py:371(axis_nan_policy_decorator)
       12    0.000    0.000    0.000    0.000 _axis_nan_policy.py:574(<listcomp>)
        2    0.000    0.000    0.001    0.000 _backend.py:1(<module>)
       28    0.000    0.000    0.002    0.000 _backend.py:174(generate_multimethod)
       28    0.000    0.000    0.002    0.000 _backend.py:307(get_defaults)
        1    0.000    0.000    0.000    0.000 _backend.py:325(set_global_backend)
        1    0.000    0.000    0.000    0.000 _backend.py:33(_backend_from_arg)
        1    0.000    0.000    0.000    0.000 _backend.py:407(Dispatchable)
        1    0.000    0.000    0.000    0.000 _backend.py:48(set_global_backend)
        1    0.000    0.000    0.000    0.000 _backend.py:6(_ScipyBackend)
        4    0.000    0.000    0.060    0.015 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:14(SparseWarning)
        1    0.000    0.000    0.000    0.000 _base.py:1406(ArtistList)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:18(SparseFormatWarning)
        1    0.000    0.000    0.000    0.000 _base.py:211(_process_plot_var_args)
        1    0.000    0.000    0.000    0.000 _base.py:22(Future)
        1    0.000    0.000    0.000    0.000 _base.py:22(SparseEfficiencyWarning)
        1    0.000    0.000    0.000    0.000 _base.py:327(Future)
        1    0.000    0.000    0.000    0.000 _base.py:35(_axis_method_wrapper)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
       44    0.000    0.000    0.001    0.000 _base.py:52(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.001    0.001 _base.py:547(_AxesBase)
        1    0.000    0.000    0.000    0.000 _base.py:559(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:571(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:60(spmatrix)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:653(BrokenExecutor)
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
        9    0.000    0.000    0.045    0.005 _base.py:734(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:96(_TransformedBoundsLocator)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
        3    0.000    0.000    0.011    0.004 _basic.py:1(<module>)
       28    0.000    0.000    0.002    0.000 _basic.py:16(_dispatch)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:13(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:181(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:248(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:279(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:295(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:35(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binomtest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binomtest.py:10(BinomTestResult)
        1    0.000    0.000    0.000    0.000 _blocking_input.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsplines.py:67(BSpline)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bsr.py:22(bsr_matrix)
        2    0.000    0.000    0.000    0.000 _bunch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bunch.py:1(Bunch)
       21    0.000    0.000    0.000    0.000 _bunch.py:129(<genexpr>)
        5    0.000    0.000    0.001    0.000 _bunch.py:33(_make_tuple_bunch)
        5    0.000    0.000    0.000    0.000 _bunch.py:6(_validate_names)
        1    0.000    0.000    0.000    0.000 _bvp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bvp.py:514(BVPResult)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
        1    0.000    0.000    0.000    0.000 _ccallback.py:9(CData)
        1    0.000    0.000    0.000    0.000 _cloudpickle_wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:66(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:2061(<dictcomp>)
        1    0.000    0.000    0.001    0.001 _cobyla_py.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _cobyla_py.py:30(synchronized)
        1    0.000    0.000    0.005    0.005 _codata.py:1(<module>)
        4    0.002    0.001    0.003    0.001 _codata.py:1503(parse_constants_2002to2014)
        1    0.001    0.001    0.001    0.001 _codata.py:1514(parse_constants_2018toXXXX)
        1    0.000    0.000    0.000    0.000 _codata.py:1563(ConstantWarning)
       22    0.000    0.000    0.000    0.000 _codata.py:1568(_check_obsolete)
       22    0.000    0.000    0.000    0.000 _codata.py:1574(value)
        2    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:107(HTTPHeaderDict)
       91    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
       12    0.000    0.000    0.000    0.000 _collections.py:23(freeze)
       11    0.000    0.000    0.000    0.000 _collections.py:24(<lambda>)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
        1    0.000    0.000    0.000    0.000 _collections.py:31(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 _collections.py:5(FreezableDefaultDict)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
       36    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       45    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:566(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
       87    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:836(keys)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:862(__init__)
      168    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
       32    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        6    0.000    0.000    0.006    0.001 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:140(NicDuplex)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:152(BatteryTime)
        1    0.000    0.000    0.000    0.000 _common.py:25(normalize_path)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:278(Error)
        1    0.000    0.000    0.000    0.000 _common.py:311(NoSuchProcess)
        1    0.000    0.000    0.000    0.000 _common.py:324(ZombieProcess)
        1    0.000    0.000    0.000    0.000 _common.py:339(AccessDenied)
        1    0.000    0.000    0.000    0.000 _common.py:350(TimeoutExpired)
        1    0.000    0.000    0.001    0.001 _common.py:38(get_resource_reader)
        3    0.000    0.000    0.000    0.000 _common.py:381(memoize)
        6    0.000    0.000    0.000    0.000 _common.py:413(memoize_when_activated)
        1    0.000    0.000    0.000    0.000 _common.py:55(resolve)
        1    0.000    0.000    0.000    0.000 _common.py:593(deprecated_method)
        1    0.000    0.000    0.000    0.000 _common.py:597(outer)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        1    0.000    0.000    0.000    0.000 _common.py:611(_WrapNumbers)
        1    0.000    0.000    0.000    0.000 _common.py:616(__init__)
       14    0.000    0.000    0.000    0.000 _common.py:9(__init__)
